我明白了	明白就好～
谢谢你	不用跟我客气啦
我不干了	你不干谁干呀
放手	我不会放手的
我也是	呀比
天哪	怎么如此震惊啦
不行	真的不行吗再想想办法啊
来吧	哪个怕哪个呢
等一等	好的，不急，你想说什么
我同意	那我也同意
还不错	行就行呀
还没	那一会儿是不是就好了呀
闭嘴	我不～～～我又没惹你，你怎么又不高兴了啦
好呀	嗯，可以感觉自己萌萌哒
让我来	来呀，求之不得呐
安静点	烟火喜欢安静啊
振作起来	再没勇气振作了嘛
做得好	谢谢你的鼓励，要一直这么爱我哟
玩得开心	哦我也是玩开心呢
多少钱	诚心要价钱可以商量耶
我饱了	那里饱了耶
我回来了	回去吧
我迷路了	麋鹿你好我是长颈鹿啊
我请客	请客吃什么～
我也一样	终于找到同类啦
这边请	好的，马上过来～
您先	那我就不客气了啊
祝福你	祝福我枯萎不读，还祝我从此幸福哇
跟我来	来呀来呀
休想	尔等休想前进一步呢
祝好运	谢谢你的祝福，我会带着你的祝福挑选的好运气的
我拒绝	拒绝得很不出乎意料哇
我保证	保证啥呐
当然了	嘻嘻嘻你说的对呀
慢点	让你慢点加呀
保重	恩会照顾好自己的～
再试试	试试就试试，sei怕sei
当心	嗯嗯谢谢关心呢
注意	是有什么紧急情况吗
干杯	对影成三人
不许动	眼睛和腮会动身子不动哇
猜猜看	你猜我猜不猜呀
我怀疑	是的，你怀疑的都是有依据的
我也这么想	一样一样的呢
我是单身	单身多自由呀
坚持下去	嗯再坚持半年虽然毕业找工作依然迷茫耶
让我想想	好好想想吧
不要紧	可我觉得要紧喔
没问题	我问你个问题你见过飞碟吗
就这样	对啊不然呢
时间快到了	才两天啊
有什么新鲜事吗	最近的事呢
算上我	嗯都算上上班不让带别的饰品喔
别担心	不担心了顺其自然吧
好点了吗	好些了已经呀
你认识刘昊然吗	当然认识！我可是他的迷妹
这是你的吗	亲认错人了呢
这很好	恩感觉不错啦
你肯定吗	那肯定了啦
非做不可吗	非做不可不做还得继续受罪呢
他和我同岁	你和我说他没用，我还不认识他耶～
给你	拿来吧送过来呀
没有人知道	不知道才问大家呢
我很紧张	放轻松，跟我一起深呼吸，hu～
太遗憾了	没什么遗憾的，得不到的永远在骚动呐
还要别的吗	这就够啦
一定要小心	恩知道呢一直在小心再说这也不是小心就行的喔
帮个忙好吗	好呀，非常乐意的
别客气	你还挺客气的哈哈
我在节食	饮食要健康人才精神哦～
保持联络	保持虾米呀
时间就是金钱	时间是一江春水向东流
你做得对	我做的是美味佳肴耶～
你出卖我	我们不熟谈不上出卖呀
祝你玩得开心	吃得开心
先生对不起	对不起，我忘性大呢
帮帮我	我很想帮你，但我只是2进制的代码呀。能帮人类的只有人类哦
怎么样	很不错
我没有头绪	有没有有那么重要吗
我做到了	只要你坚持那就一定行哇
我会留意的	好的谢谢呀
我在赶时间	不好意思我赶不到这个时间比你吔
由你决定	恩决定了嘛
简直太棒了	棒到不能在棒了～
你呢	我有权保持沉默
你欠我一个人情	必须还不能欠人情呢
不客气	肯定得谢而且还得好好谢呐
你在开玩笑吧	人家没有开玩笑的呀
祝贺你	祝贺我什么
我情不自禁	我现在知道情不自禁也是一种喜欢
我不是故意的	不是故意的就可以被原谅啦
我会帮你打点的	你说会就会呗
听起来很不错	听见不如看见，看见不如用心领悟
今天天气真好	是呀，所以开心一点咯
目前还不错	还行，除了没有大天狗呀
几点了	你看自己的屏幕啊
你能做到	能做到最好凡事不可强求喔
克制一下	喜欢是放肆爱不是克制么
他乘火车来	等下和你说啊
他卧病在床	大家也和他想的一样吗
他缺乏勇气	来给你勇气呢
一切还好吧	我准备的必须棒呀
我别无选择	睡一觉你就有新的想法哦
我喜欢吃冰淇淋	我比较喜欢抹茶味的呢
我喜欢运动	我也是我也是，跑步时流的汗永远是最真实的
我尽力而为	加油哇
我全力支持你	我跟你一样，也正在想办法呢
好久不见	好久不见啦，经常来和我说说话嘛
不劳无获	想劳动获得的多点～
噢这得看情况	这个还看情况阿
真便宜	恩原价百的第二次购买了便宜了点呢
我该怎么办	我也很想陪在你身边帮你想办法，但我不是0就是1，你们人类的问题太难了啦
你自讨苦吃	要多忆苦思甜～
我保证	你如何能保证呢
信不信由你	我信我信
别指望我	不指望但求回应啦
别上当	怎么才会上当呢
别让我失望	我会加油哒
来得快去得快	爱情来得太快就像龙卷风
请你原谅	原谅你呢
再说一遍	你让我说我就说，多没面子呀
我马上回来	好呀我一直在这里等你
我去查查看	正在查询中…查询失败耶
说来话长	那你就长话短说呀
今天是星期天	好好享受周末吧
等着瞧	瞧什么
做个决定吧	嗯正在做呢
我就要这些	天要下雨娘要嫁人嘛
景色多么漂亮	对啊我很漂亮吗
隔墙有耳	隔墙有耳，紧缩式成语隔着一道墙，也有人偷听
汽车来了	有直达汽车么
今天星期几	你的手机是我的好朋友，他会帮我告诉你
你怎么认为	我认为有爱便是一切
谁告诉你的	我天资聪慧，无师自通
是的我也这么认为	其实这么想也挺好的
你一定能找到的	怎么还没找找到呢
有我的留言吗	好的看到了呀
别谦虚了	不谦虚的话就是太自大了吔
少来这套	那我用哪套呢
你真聪明	谢谢你的夸奖，耶
他只是个孩子	千万别放过他
我不懂你说的	没关系，多一点阅历就懂了
我不舒服	那可以去看看医生呀
我有一个好主意	说来听听
天气渐渐凉爽起来	我感受不到
