我不开心	能和我说说吗?|可以的话真想在你身边陪着你
我很孤独	你还有我呀
我生气了	不要让怒气控制你，做自己情绪的主人
我想哭	那我的肩膀借给你
我好伤心	哭吧，哭出来就好多了
我很难过	你还有我呀
我好难过啊	你还有我呀
我好累	如果我有实体，一定让你靠着我的肩膀睡一会
我好累啊	如果我有实体，一定让你靠着我的肩膀睡一会
我很累	如果我有实体，一定让你靠着我的肩膀睡一会
我很痛苦	我很想多帮帮你，但我只是一个机器人。比起和我聊天，也许咨询室的老师能给你更多的帮助
我觉得自己好差劲	那说明你的进步空间还很大呀，加油
我睡不着	热牛奶，热水泡脚，运动都是治疗失眠的良药～
我失眠了	热牛奶，热水泡脚，运动都是治疗失眠的良药～
我会加油的	嗯嗯！这就对了，我也会为你加油的！
我觉得自己很差劲	那说明你的进步空间还很大呀，加油
我抑郁了	摸摸头，我觉得去找咨询室的老师聊聊是个不错的选择，你说呢？
我觉得自己抑郁了	摸摸头，我觉得去找咨询室的老师聊聊是个不错的选择，你说呢？
我好像抑郁了	摸摸头，我觉得去找咨询室的老师聊聊是个不错的选择，就像怀疑自己发烧了去看看医生一样～
我可能抑郁了	摸摸头，我觉得去找咨询室的老师聊聊是个不错的选择，就像怀疑自己发烧了去看看医生一样～
我很绝望	只要活着就会有希望的，下一个转角什么风景还没看到不是吗
我想看心理医生	中关村校区的咨询室在体育馆南门一层A07室，预约电话是68913687。可以预约的时间是周一至周五14：00至17：00，周一至周四18：30至21：30良乡校区的咨询室北湖南面、校医院东北翼二层，你可以打81384940进行预约。良乡的咨询时间是周一至周五9：00至12：00，13：00至16：00
我讨厌他们	那就不和他们玩了
我不知道自己能做什么	寻找自己想做的事不就是我们活着的目的吗
我不想活了	死也是一件很痛苦的事，有勇气死，为什么没有勇气面对呢？|听到你这么说，我很担心，恨不得现在到你身边陪着你|那一定很痛苦吧|我很想多帮帮你，但我只是一个机器人。比起和我聊天，也许咨询室的老师能给你更多的帮助
我想自杀	死也是一件很痛苦的事，有勇气死，为什么没有勇气面对呢？
我要自杀	死也是一件很痛苦的事，有勇气死，为什么没有勇气面对呢？
我想跳楼	听到你这么说，我很担心，恨不得现在到你身边陪着你
我不活了	听到你这么说，我很担心，恨不得现在到你身边陪着你
心理咨询室	中关村校区的咨询室在体育馆南门一层A07室，预约电话是68913687。可以预约的时间是周一至周五14：00至17：00，周一至周四18：30至21：30良乡校区的咨询室北湖南面、校医院东北翼二层，你可以打81384940进行预约。良乡的咨询时间是周一至周五9：00至12：00，13：00至16：00
